IP,Attempts,AbuseScore,TotalReports,LastReportedAt,Country,Domains,UsageType,FirstAttempt
117.50.127.153,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T06:24:01.699847Z
195.184.76.163,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:45:11.318162Z
198.235.24.230,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T04:45:17.506665Z
205.210.31.154,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:21:15.844518Z
47.106.113.186,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T06:17:31.295462Z
91.230.168.251,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:43:32.850026Z
91.230.168.252,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:43:33.420594Z
94.231.206.134,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:40:23.750228Z
94.231.206.249,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:40:22.549674Z
94.231.206.254,1,N/A,N/A,N/A,N/A,N/A,N/A,2026-07-05T02:42:19.412347Z
